updated_at,rater,folder,file_name,stars,slide_type,checklist,tag,mode
2026-08-09 23:55:15,rbyang,quality/g1/A,1.mp4,2,multi_总分,,quality,quality
2026-08-09 23:55:18,rbyang,quality/g1/B,1.mp4,2,multi_总分,,quality,quality
2026-08-09 23:55:23,rbyang,quality/g1/A,2.mp4,2,multi_总分,,quality,quality
2026-08-09 23:55:24,rbyang,quality/g1/B,2.mp4,1,multi_总分,,quality,quality
